cik,period,metric,value,anomaly_category,self_anomaly,peer_anomaly,direction,zscore,self_baseline_mean,self_baseline_std,self_baseline_n,window_max_quarters,z_score_peer,peer_group_n,peer_deviation_strong,peer_cs_pct_rank,peer_cs_z,peer_cs_coverage,peer_cs_rank_signal,peer_cs_z_signal,peer_cs_alert,comparison_scope,caveat_codes,combined_score_raw,combined_score_adjusted,combined_penalty_total,combined_score,combined_signal_type,contributing_signals,score_components,combined_explanation,explanation,abs_z
789019,2023-Q1,net_margin,0.45247920206545006,combined,True,True,high,4.1074714810284,0.3556081870909957,0.023584099225492493,4,4,4.932371784499862,3,True,100.0,1.3343340309453438,full,high,none,extreme_high,combined,none,3.14298859241136,3.14298859241136,0.0,3.14298859241136,dual_confirmed,self_z;peer_cs;agreement,self=1.643;peer=1.000;agreement=0.500;penalty=0.000;raw=3.143;score=3.143,"type=dual_confirmed; score=3.143; raw_score=3.143; self_component=1.643; peer_component=1.000; agreement_bonus=0.500; caveat_penalty=0.000; contributors=self_z,peer_cs,agreement",category=combined; self=True; peer_cs=True; dir=high; obs=0.452479; self_z=4.1075; baseline_prior_quarters mean=0.355608 std=0.0235841 n=4/4; peer_LOO_z=4.9324 (period_n=3); |peer_LOO|>threshold; peer_cs_alert=extreme_high; caveats=none,4.1074714810284
1045810,2025-Q2,net_income,8232000000.0,self_relative,True,False,high,12.427714257190516,2222250000.0,483576454.6584128,4,4,-6.366141438279441,3,True,,,unavailable,unavailable,unavailable,unavailable,self_history,none,3.0,3.0,0.0,3.0,self_only,self_z,self=3.000;peer=0.000;agreement=0.000;penalty=0.000;raw=3.000;score=3.000,type=self_only; score=3.000; raw_score=3.000; self_component=3.000; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=8.2320e+09; self_z=12.4277; baseline_prior_quarters mean=2.2222e+09 std=4.83576e+08 n=4/4; peer_LOO_z=-6.3661 (period_n=3); |peer_LOO|>threshold; caveats=none,12.427714257190516
1045810,2025-Q2,net_margin,0.3977003719986473,combined,True,True,high,3.633595157657729,0.1930382188164272,0.05632497411025516,4,4,1.5084892977301019,3,False,100.0,0.9288033488805686,full,high,none,extreme_high,combined,none,2.9534380630630914,2.9534380630630914,0.0,2.9534380630630914,dual_confirmed,self_z;peer_cs;agreement,self=1.453;peer=1.000;agreement=0.500;penalty=0.000;raw=2.953;score=2.953,"type=dual_confirmed; score=2.953; raw_score=2.953; self_component=1.453; peer_component=1.000; agreement_bonus=0.500; caveat_penalty=0.000; contributors=self_z,peer_cs,agreement",category=combined; self=True; peer_cs=True; dir=high; obs=0.3977; self_z=3.6336; baseline_prior_quarters mean=0.193038 std=0.056325 n=4/4; peer_LOO_z=1.5085 (period_n=3); peer_cs_alert=extreme_high; caveats=none,3.633595157657729
320193,2022-Q1,revenue_growth_qoq,-0.4688752579628914,self_relative,True,False,low,-8.295100113599421,0.5163182879424203,0.11876813207957959,2,4,7.79344699197154,3,True,,,unavailable,unavailable,unavailable,unavailable,self_history,sparse_history,3.0,2.8,0.2,2.8,self_only,self_z;caveat_penalty,self=3.000;peer=0.000;agreement=0.000;penalty=0.200;raw=3.000;score=2.800,"type=self_only; score=2.800; raw_score=3.000; self_component=3.000; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.200; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=low; obs=-0.468875; self_z=-8.2951; baseline_prior_quarters mean=0.516318 std=0.118768 n=2/4; peer_LOO_z=7.7934 (period_n=3); |peer_LOO|>threshold; caveats=sparse_history,8.295100113599421
320193,2022-Q3,revenue,282457000000.0,combined,True,True,high,2.8683848210368708,168102750000.0,39867122835.58346,4,4,3.9115758543132846,3,True,100.0,1.2931120499405453,full,high,none,extreme_high,combined,none,2.6473539284147485,2.6473539284147485,0.0,2.6473539284147485,dual_confirmed,self_z;peer_cs;agreement,self=1.147;peer=1.000;agreement=0.500;penalty=0.000;raw=2.647;score=2.647,"type=dual_confirmed; score=2.647; raw_score=2.647; self_component=1.147; peer_component=1.000; agreement_bonus=0.500; caveat_penalty=0.000; contributors=self_z,peer_cs,agreement",category=combined; self=True; peer_cs=True; dir=high; obs=2.8246e+11; self_z=2.8684; baseline_prior_quarters mean=1.6810e+11 std=3.9867e+10 n=4/4; peer_LOO_z=3.9116 (period_n=3); |peer_LOO|>threshold; peer_cs_alert=extreme_high; caveats=none,2.8683848210368708
320193,2021-Q3,revenue,209817000000.0,combined,True,True,high,3.047056402517449,120975500000.0,29156500000.0,2,4,3.1577869485123857,3,True,100.0,1.2399402015639431,full,high,none,extreme_high,combined,sparse_history,2.71882256100698,2.5188225610069797,0.2,2.5188225610069797,dual_confirmed,self_z;peer_cs;agreement;caveat_penalty,self=1.219;peer=1.000;agreement=0.500;penalty=0.200;raw=2.719;score=2.519,"type=dual_confirmed; score=2.519; raw_score=2.719; self_component=1.219; peer_component=1.000; agreement_bonus=0.500; caveat_penalty=0.200; contributors=self_z,peer_cs,agreement,caveat_penalty",category=combined; self=True; peer_cs=True; dir=high; obs=2.0982e+11; self_z=3.0471; baseline_prior_quarters mean=1.2098e+11 std=2.9156e+10 n=2/4; peer_LOO_z=3.1578 (period_n=3); |peer_LOO|>threshold; peer_cs_alert=extreme_high; caveats=sparse_history,3.047056402517449
1045810,2025-Q3,net_income,17475000000.0,self_relative,True,False,high,5.359779868010557,3875750000.0,2537277711.9385257,4,4,-8.53875968992248,3,True,,,unavailable,unavailable,unavailable,unavailable,self_history,none,2.1439119472042227,2.1439119472042227,0.0,2.1439119472042227,self_only,self_z,self=2.144;peer=0.000;agreement=0.000;penalty=0.000;raw=2.144;score=2.144,type=self_only; score=2.144; raw_score=2.144; self_component=2.144; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=1.7475e+10; self_z=5.3598; baseline_prior_quarters mean=3.8758e+09 std=2.5373e+09 n=4/4; peer_LOO_z=-8.5388 (period_n=3); |peer_LOO|>threshold; caveats=none,5.359779868010557
789019,2022-Q1,revenue_growth_qoq,-0.6460917109599741,self_relative,True,False,low,-4.723416469803798,0.8085408461607813,0.30796195220557765,2,4,-1.5888027101303914,3,False,,,unavailable,unavailable,unavailable,unavailable,self_history,sparse_history,1.8893665879215191,1.6893665879215192,0.2,1.6893665879215192,self_only,self_z;caveat_penalty,self=1.889;peer=0.000;agreement=0.000;penalty=0.200;raw=1.889;score=1.689,"type=self_only; score=1.689; raw_score=1.889; self_component=1.889; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.200; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=low; obs=-0.646092; self_z=-4.7234; baseline_prior_quarters mean=0.808541 std=0.307962 n=2/4; peer_LOO_z=-1.5888 (period_n=3); caveats=sparse_history,4.723416469803798
1045810,2025-Q3,revenue,38819000000.0,self_relative,True,False,high,4.092233675211617,15951500000.0,5588024002.274865,4,4,-3.447083225304641,3,True,33.33333333333333,-1.2636608534379516,full,none,none,none,self_history,none,1.6368934700846467,1.6368934700846467,0.0,1.6368934700846467,self_only,self_z,self=1.637;peer=0.000;agreement=0.000;penalty=0.000;raw=1.637;score=1.637,type=self_only; score=1.637; raw_score=1.637; self_component=1.637; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=3.8819e+10; self_z=4.0922; baseline_prior_quarters mean=1.5952e+10 std=5.5880e+09 n=4/4; peer_LOO_z=-3.4471 (period_n=3); |peer_LOO|>threshold; caveats=none,4.092233675211617
1045810,2023-Q3,net_income,6749000000.0,self_relative,True,False,high,3.8607871294523797,2652750000.0,1060988306.9572444,4,4,-5.2669381389707155,3,True,,,unavailable,unavailable,unavailable,unavailable,self_history,none,1.544314851780952,1.544314851780952,0.0,1.544314851780952,self_only,self_z,self=1.544;peer=0.000;agreement=0.000;penalty=0.000;raw=1.544;score=1.544,type=self_only; score=1.544; raw_score=1.544; self_component=1.544; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=6.7490e+09; self_z=3.8608; baseline_prior_quarters mean=2.6528e+09 std=1.0610e+09 n=4/4; peer_LOO_z=-5.2669 (period_n=3); |peer_LOO|>threshold; caveats=none,3.8607871294523797
