cik,period,caveat_codes
1090872,2021-Q2,limited_peer_coverage;missing_prior_period;sparse_history
1090872,2021-Q3,limited_peer_coverage;sparse_history
1090872,2022-Q1,limited_peer_coverage;missing_prior_period;sparse_history
1090872,2022-Q2,limited_peer_coverage;sparse_history
1090872,2022-Q3,limited_peer_coverage
1090872,2023-Q1,limited_peer_coverage;missing_prior_period
1090872,2023-Q2,limited_peer_coverage
1090872,2023-Q3,limited_peer_coverage
1090872,2024-Q1,limited_peer_coverage;missing_prior_period
1090872,2024-Q2,limited_peer_coverage
1090872,2024-Q3,limited_peer_coverage
1090872,2025-Q1,limited_peer_coverage;missing_prior_period
1090872,2025-Q2,limited_peer_coverage
1090872,2025-Q3,limited_peer_coverage
1090872,2026-Q1,limited_peer_coverage;missing_prior_period
