cik,period,metric,value,peer_group_n,peer_coverage,peer_pct_rank,peer_z,peer_rank_signal,peer_z_signal,peer_alert
1090872,2021-Q2,current_ratio,2.3278800272665303,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2021-Q2,debt_to_assets,0.49381946608496935,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2021-Q2,net_margin,0.11483622350674373,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2021-Q2,revenue,2595000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2021-Q3,current_ratio,2.3278800272665303,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2021-Q3,debt_to_assets,0.49381946608496935,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2021-Q3,net_margin,0.12889004149377592,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2021-Q3,revenue,3856000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q1,current_ratio,2.2242388758782203,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q1,debt_to_assets,0.49659037832788416,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q1,net_margin,0.18604651162790697,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q1,revenue,1548000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q2,current_ratio,2.2242388758782203,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q2,debt_to_assets,0.49659037832788416,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q2,net_margin,0.16400911161731208,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q2,revenue,3073000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q3,current_ratio,2.2242388758782203,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q3,debt_to_assets,0.49659037832788416,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q3,net_margin,0.1648422408242112,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2022-Q3,revenue,4659000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q1,current_ratio,2.030091348737238,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q1,debt_to_assets,0.49629699962020507,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q1,net_margin,0.16905615292712067,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q1,revenue,1674000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q2,current_ratio,2.030091348737238,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q2,debt_to_assets,0.49629699962020507,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q2,net_margin,0.16976531545260592,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q2,revenue,3281000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q3,current_ratio,2.030091348737238,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q3,debt_to_assets,0.49629699962020507,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q3,net_margin,0.17723544708941788,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2023-Q3,revenue,4999000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q1,current_ratio,2.611353711790393,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q1,debt_to_assets,0.45693579856917216,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q1,net_margin,0.20045558086560364,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q1,revenue,1756000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q2,current_ratio,2.611353711790393,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q2,debt_to_assets,0.45693579856917216,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q2,net_margin,0.18830981860063345,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q2,revenue,3473000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q3,current_ratio,2.611353711790393,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q3,debt_to_assets,0.45693579856917216,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q3,net_margin,0.14868804664723032,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2024-Q3,revenue,5145000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2025-Q1,current_ratio,2.0891820580474936,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2025-Q1,debt_to_assets,0.5021104170184029,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2025-Q1,net_margin,0.20989143546441497,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2025-Q1,revenue,1658000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2025-Q2,current_ratio,2.0891820580474936,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2025-Q2,debt_to_assets,0.5021104170184029,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2025-Q2,net_margin,0.20303311668214175,1,insufficient_peers,,,unavailable,unavailable,unavailable
1090872,2025-Q2,revenue,3231000000.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
