finding_id,finding_source,finding_type,cik,period,metric,direction,score_raw,score_adjusted,score_penalty,overlap_count,overlap_sources,caveat_codes,explanation_summary,provenance_artifacts
trend:1090872:2024-Q1:net_margin:strong_shift,trend_break,strong_shift,1090872,2024-Q1,net_margin,improving,3.5207585964619885,3.5207585964619885,0.0,2,anomaly;trend_break,none,metric=net_margin; prior_window=3; recent_window=2; mean_shift=0.0209576; slope_shift=0.0207586; streak=improving:2; score=3.521; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2023-Q3:net_margin:strong_shift,trend_break,strong_shift,1090872,2023-Q3,net_margin,improving,3.5049466109819076,3.5049466109819076,0.0,1,trend_break,none,metric=net_margin; prior_window=3; recent_window=2; mean_shift=0.00753121; slope_shift=0.00494661; streak=improving:2; score=3.505; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2024-Q1:current_ratio:strong_shift,trend_break,strong_shift,1090872,2024-Q1,current_ratio,mixed,3.1467621318908257,3.1467621318908257,0.0,2,anomaly;trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=0.225915; slope_shift=0.678336; streak=mixed:2; score=3.147; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2024-Q1:debt_to_assets:strong_shift,trend_break,strong_shift,1090872,2024-Q1,debt_to_assets,mixed,3.0392145116971934,3.0392145116971934,0.0,1,trend_break,none,metric=debt_to_assets; prior_window=3; recent_window=2; mean_shift=-0.0197784; slope_shift=-0.0392145; streak=mixed:2; score=3.039; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2024-Q2:net_margin:strong_shift,trend_break,strong_shift,1090872,2024-Q2,net_margin,mixed,3.016235409346119,3.016235409346119,0.0,1,trend_break,none,metric=net_margin; prior_window=3; recent_window=2; mean_shift=0.0223637; slope_shift=-0.0162354; streak=mixed:2; score=3.016; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2023-Q2:current_ratio:strong_shift,trend_break,strong_shift,1090872,2023-Q2,current_ratio,mixed,3.000000000000001,3.000000000000001,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=-0.194148; slope_shift=-6.68068e-16; streak=mixed:2; score=3.000; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2024-Q2:current_ratio:strong_shift,trend_break,strong_shift,1090872,2024-Q2,current_ratio,mixed,3.0000000000000004,3.0000000000000004,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=0.581262; slope_shift=-4.50872e-16; streak=mixed:2; score=3.000; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2023-Q2:debt_to_assets:strong_shift,trend_break,strong_shift,1090872,2023-Q2,debt_to_assets,mixed,3.0,3.0,0.0,1,trend_break,none,metric=debt_to_assets; prior_window=3; recent_window=2; mean_shift=-0.000293379; slope_shift=-1.48863e-16; streak=mixed:2; score=3.000; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2024-Q2:debt_to_assets:strong_shift,trend_break,strong_shift,1090872,2024-Q2,debt_to_assets,mixed,3.0,3.0,0.0,1,trend_break,none,metric=debt_to_assets; prior_window=3; recent_window=2; mean_shift=-0.0393612; slope_shift=-3.74871e-17; streak=mixed:2; score=3.000; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q2:current_ratio:strong_shift,trend_break,strong_shift,1090872,2025-Q2,current_ratio,mixed,3.0,3.0,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=-0.522172; slope_shift=8.54731e-17; streak=mixed:2; score=3.000; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q2:debt_to_assets:strong_shift,trend_break,strong_shift,1090872,2025-Q2,debt_to_assets,mixed,3.0,3.0,0.0,1,trend_break,none,metric=debt_to_assets; prior_window=3; recent_window=2; mean_shift=0.0451746; slope_shift=-1.57274e-17; streak=mixed:2; score=3.000; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2023-Q1:current_ratio:strong_shift,trend_break,strong_shift,1090872,2023-Q1,current_ratio,mixed,2.8363332096224805,2.8363332096224805,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=-0.131621; slope_shift=-0.142327; streak=mixed:2; score=2.836; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q1:revenue_growth_qoq:strong_shift,trend_break,strong_shift,1090872,2025-Q1,revenue_growth_qoq,deteriorating,2.444273146484039,2.444273146484039,0.0,1,trend_break,none,metric=revenue_growth_qoq; prior_window=3; recent_window=2; mean_shift=-0.382386; slope_shift=-1.38626; streak=deteriorating:2; score=2.444; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2023-Q1:revenue_growth_qoq:strong_shift,trend_break,strong_shift,1090872,2023-Q1,revenue_growth_qoq,deteriorating,2.440579031645638,2.440579031645638,0.0,1,trend_break,none,metric=revenue_growth_qoq; prior_window=3; recent_window=2; mean_shift=-0.353137; slope_shift=-1.40641; streak=deteriorating:2; score=2.441; type=strong_shift,trend_break_signals_csv;features_csv
trend:1090872:2024-Q1:revenue_growth_qoq:strong_shift,trend_break,strong_shift,1090872,2024-Q1,revenue_growth_qoq,deteriorating,2.3996966189872873,2.3996966189872873,0.0,1,trend_break,none,metric=revenue_growth_qoq; prior_window=3; recent_window=2; mean_shift=-0.341017; slope_shift=-1.39428; streak=deteriorating:2; score=2.400; type=strong_shift,trend_break_signals_csv;features_csv
