cik,period,metric,value,peer_group_n,peer_coverage,peer_pct_rank,peer_z,peer_rank_signal,peer_z_signal,peer_alert
3001,2023-Q1,current_ratio,1.6,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q1,debt_to_assets,0.45,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q1,net_margin,0.1,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q1,revenue,90.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q2,current_ratio,1.58,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q2,debt_to_assets,0.46,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q2,net_margin,0.1,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q2,revenue,91.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q3,current_ratio,1.57,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q3,debt_to_assets,0.46,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q3,net_margin,0.1,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q3,revenue,92.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q4,current_ratio,1.21,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q4,debt_to_assets,0.6,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q4,net_margin,0.055,1,insufficient_peers,,,unavailable,unavailable,unavailable
3001,2023-Q4,revenue,78.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
