cik,period,metric,value,peer_group_n,peer_coverage,peer_pct_rank,peer_z,peer_rank_signal,peer_z_signal,peer_alert
5001,2024-Q1,current_ratio,1.62,1,insufficient_peers,,,unavailable,unavailable,unavailable
5001,2024-Q1,debt_to_assets,0.44,2,rank_only,50.0,,none,unavailable,none
5002,2024-Q1,debt_to_assets,0.45,2,rank_only,100.0,,high,unavailable,extreme_high
5001,2024-Q1,net_margin,0.108,2,rank_only,50.0,,none,unavailable,none
5002,2024-Q1,net_margin,0.109,2,rank_only,100.0,,high,unavailable,extreme_high
5001,2024-Q1,revenue,130.0,2,rank_only,100.0,,high,unavailable,extreme_high
5002,2024-Q1,revenue,127.0,2,rank_only,50.0,,none,unavailable,none
5001,2024-Q2,current_ratio,1.58,2,rank_only,100.0,,high,unavailable,extreme_high
5002,2024-Q2,current_ratio,1.49,2,rank_only,50.0,,none,unavailable,none
5001,2024-Q2,debt_to_assets,0.46,1,insufficient_peers,,,unavailable,unavailable,unavailable
5001,2024-Q2,net_margin,0.102,2,rank_only,100.0,,high,unavailable,extreme_high
5002,2024-Q2,net_margin,-0.005,2,rank_only,50.0,,none,unavailable,none
5002,2024-Q2,revenue,126.5,1,insufficient_peers,,,unavailable,unavailable,unavailable
