cik,period,metric,value,history_points,window_prior,window_recent,prior_mean,recent_mean,mean_shift,prior_slope,recent_slope,slope_shift,consecutive_direction,consecutive_len,short_history_flag,trend_score,trend_signal_type,explanation
5001,2024-Q1,current_ratio,1.62,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=1; required=5; short_history=True; trend_score=0.000
5001,2024-Q1,debt_to_assets,0.44,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=1; required=5; short_history=True; trend_score=0.000
5001,2024-Q1,net_margin,0.108,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=1; required=5; short_history=True; trend_score=0.000
5001,2024-Q1,revenue_growth_qoq,0.02,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=1; required=5; short_history=True; trend_score=0.000
5001,2024-Q2,current_ratio,1.58,2,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=2; required=5; short_history=True; trend_score=0.000
5001,2024-Q2,debt_to_assets,0.46,2,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=2; required=5; short_history=True; trend_score=0.000
5001,2024-Q2,net_margin,0.102,2,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=2; required=5; short_history=True; trend_score=0.000
5001,2024-Q2,revenue_growth_qoq,,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=1; required=5; short_history=True; trend_score=0.000
5002,2024-Q1,current_ratio,,0,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=0; required=5; short_history=True; trend_score=0.000
5002,2024-Q1,debt_to_assets,0.45,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=1; required=5; short_history=True; trend_score=0.000
5002,2024-Q1,net_margin,0.109,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=1; required=5; short_history=True; trend_score=0.000
5002,2024-Q1,revenue_growth_qoq,0.01,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=1; required=5; short_history=True; trend_score=0.000
5002,2024-Q2,current_ratio,1.49,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=1; required=5; short_history=True; trend_score=0.000
5002,2024-Q2,debt_to_assets,,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=1; required=5; short_history=True; trend_score=0.000
5002,2024-Q2,net_margin,-0.005,2,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=2; required=5; short_history=True; trend_score=0.000
5002,2024-Q2,revenue_growth_qoq,,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=1; required=5; short_history=True; trend_score=0.000
