cik,period,metric,value,peer_group_n,peer_coverage,peer_pct_rank,peer_z,peer_rank_signal,peer_z_signal,peer_alert
2001,2024-Q1,current_ratio,1.7,4,full,75.0,0.5663711930781009,none,none,none
2002,2024-Q1,current_ratio,1.72,4,full,100.0,0.6301876655376053,high,none,extreme_high
2003,2024-Q1,current_ratio,1.69,4,full,50.0,0.5344629568483487,none,none,none
2004,2024-Q1,current_ratio,0.98,4,full,25.0,-1.7310218154640549,none,none,none
2001,2024-Q1,debt_to_assets,0.36,4,full,50.0,-0.5767228848487176,none,none,none
2002,2024-Q1,debt_to_assets,0.37,4,full,75.0,-0.5108116980088642,none,none,none
2003,2024-Q1,debt_to_assets,0.35,4,full,25.0,-0.6426340716885711,none,none,none
2004,2024-Q1,debt_to_assets,0.71,4,full,100.0,1.730168654546152,high,none,extreme_high
2001,2024-Q1,net_margin,0.125,4,full,75.0,0.5839254955821308,none,none,none
2002,2024-Q1,net_margin,0.123,4,full,50.0,0.5436547717488804,none,none,none
2003,2024-Q1,net_margin,0.126,4,full,100.0,0.604060857498756,high,none,extreme_high
2004,2024-Q1,net_margin,0.01,4,full,25.0,-1.7316411248297676,none,none,none
2001,2024-Q1,revenue,120.0,4,full,75.0,0.4472135954999579,none,none,none
2002,2024-Q1,revenue,118.0,4,full,25.0,-1.3416407864998738,none,none,none
2003,2024-Q1,revenue,121.0,4,full,100.0,1.3416407864998738,high,none,extreme_high
2004,2024-Q1,revenue,119.0,4,full,50.0,-0.4472135954999579,none,none,none
