cik,period,metric,value,history_points,window_prior,window_recent,prior_mean,recent_mean,mean_shift,prior_slope,recent_slope,slope_shift,consecutive_direction,consecutive_len,short_history_flag,trend_score,trend_signal_type,explanation
2001,2024-Q1,current_ratio,1.7,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=1; required=5; short_history=True; trend_score=0.000
2001,2024-Q1,debt_to_assets,0.36,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=1; required=5; short_history=True; trend_score=0.000
2001,2024-Q1,net_margin,0.125,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=1; required=5; short_history=True; trend_score=0.000
2001,2024-Q1,revenue_growth_qoq,0.03,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=1; required=5; short_history=True; trend_score=0.000
2002,2024-Q1,current_ratio,1.72,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=1; required=5; short_history=True; trend_score=0.000
2002,2024-Q1,debt_to_assets,0.37,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=1; required=5; short_history=True; trend_score=0.000
2002,2024-Q1,net_margin,0.123,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=1; required=5; short_history=True; trend_score=0.000
2002,2024-Q1,revenue_growth_qoq,0.02,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=1; required=5; short_history=True; trend_score=0.000
2003,2024-Q1,current_ratio,1.69,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=1; required=5; short_history=True; trend_score=0.000
2003,2024-Q1,debt_to_assets,0.35,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=1; required=5; short_history=True; trend_score=0.000
2003,2024-Q1,net_margin,0.126,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=1; required=5; short_history=True; trend_score=0.000
2003,2024-Q1,revenue_growth_qoq,0.02,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=1; required=5; short_history=True; trend_score=0.000
2004,2024-Q1,current_ratio,0.98,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=1; required=5; short_history=True; trend_score=0.000
2004,2024-Q1,debt_to_assets,0.71,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=1; required=5; short_history=True; trend_score=0.000
2004,2024-Q1,net_margin,0.01,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=1; required=5; short_history=True; trend_score=0.000
2004,2024-Q1,revenue_growth_qoq,-0.21,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=1; required=5; short_history=True; trend_score=0.000
