cik,period,metric,value,history_points,window_prior,window_recent,prior_mean,recent_mean,mean_shift,prior_slope,recent_slope,slope_shift,consecutive_direction,consecutive_len,short_history_flag,trend_score,trend_signal_type,explanation
1001,2023-Q1,current_ratio,1.8,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=1; required=5; short_history=True; trend_score=0.000
1001,2023-Q1,debt_to_assets,0.4,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=1; required=5; short_history=True; trend_score=0.000
1001,2023-Q1,net_margin,0.12,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=1; required=5; short_history=True; trend_score=0.000
1001,2023-Q1,revenue_growth_qoq,0.02,1,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=1; required=5; short_history=True; trend_score=0.000
1001,2023-Q2,current_ratio,1.79,2,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=2; required=5; short_history=True; trend_score=0.000
1001,2023-Q2,debt_to_assets,0.41,2,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=2; required=5; short_history=True; trend_score=0.000
1001,2023-Q2,net_margin,0.121,2,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=2; required=5; short_history=True; trend_score=0.000
1001,2023-Q2,revenue_growth_qoq,0.01,2,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=2; required=5; short_history=True; trend_score=0.000
1001,2023-Q3,current_ratio,1.78,3,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=3; required=5; short_history=True; trend_score=0.000
1001,2023-Q3,debt_to_assets,0.41,3,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=3; required=5; short_history=True; trend_score=0.000
1001,2023-Q3,net_margin,0.119,3,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=3; required=5; short_history=True; trend_score=0.000
1001,2023-Q3,revenue_growth_qoq,0.01,3,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=3; required=5; short_history=True; trend_score=0.000
1001,2023-Q4,current_ratio,1.1,4,3,2,,,,,,,none,0,True,0.0,short_history,metric=current_ratio; history_points=4; required=5; short_history=True; trend_score=0.000
1001,2023-Q4,debt_to_assets,0.66,4,3,2,,,,,,,none,0,True,0.0,short_history,metric=debt_to_assets; history_points=4; required=5; short_history=True; trend_score=0.000
1001,2023-Q4,net_margin,0.035,4,3,2,,,,,,,none,0,True,0.0,short_history,metric=net_margin; history_points=4; required=5; short_history=True; trend_score=0.000
1001,2023-Q4,revenue_growth_qoq,-0.29,4,3,2,,,,,,,none,0,True,0.0,short_history,metric=revenue_growth_qoq; history_points=4; required=5; short_history=True; trend_score=0.000
