cik,period,metric,value,peer_group_n,peer_coverage,peer_pct_rank,peer_z,peer_rank_signal,peer_z_signal,peer_alert
4001,2024-Q2,current_ratio,1.75,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q2,debt_to_assets,0.42,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q2,net_margin,0.118,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q2,revenue,110.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q3,current_ratio,1.73,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q3,debt_to_assets,0.43,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q3,net_margin,0.115,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q3,revenue,111.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q4,current_ratio,1.09,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q4,debt_to_assets,0.64,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q4,net_margin,0.051,1,insufficient_peers,,,unavailable,unavailable,unavailable
4001,2024-Q4,revenue,83.0,1,insufficient_peers,,,unavailable,unavailable,unavailable
