cik,period,revenue,net_income,total_assets,total_liabilities,operating_cash_flow,current_assets,current_liabilities
320193,2021-Q1,91819000000.0,22236000000.0,323888000000.0,258549000000.0,30516000000.0,143713000000.0,105392000000.0
320193,2021-Q2,150132000000.0,33485000000.0,323888000000.0,258549000000.0,43827000000.0,143713000000.0,105392000000.0
320193,2021-Q3,209817000000.0,44738000000.0,323888000000.0,258549000000.0,60098000000.0,143713000000.0,105392000000.0
320193,2022-Q1,111439000000.0,28755000000.0,351002000000.0,287912000000.0,38763000000.0,134836000000.0,125481000000.0
320193,2022-Q2,201023000000.0,52385000000.0,351002000000.0,287912000000.0,62744000000.0,134836000000.0,125481000000.0
320193,2022-Q3,282457000000.0,74129000000.0,351002000000.0,287912000000.0,83838000000.0,134836000000.0,125481000000.0
320193,2023-Q1,123945000000.0,34630000000.0,352755000000.0,302083000000.0,46966000000.0,135405000000.0,153982000000.0
320193,2023-Q2,221223000000.0,59640000000.0,352755000000.0,302083000000.0,75132000000.0,135405000000.0,153982000000.0
320193,2023-Q3,304182000000.0,79082000000.0,352755000000.0,302083000000.0,98024000000.0,135405000000.0,153982000000.0
320193,2024-Q1,117154000000.0,29998000000.0,352583000000.0,290437000000.0,34005000000.0,143566000000.0,145308000000.0
320193,2024-Q2,211990000000.0,54158000000.0,352583000000.0,290437000000.0,62565000000.0,143566000000.0,145308000000.0
320193,2024-Q3,293787000000.0,74039000000.0,352583000000.0,290437000000.0,88945000000.0,143566000000.0,145308000000.0
320193,2025-Q1,119575000000.0,33916000000.0,364980000000.0,308030000000.0,39895000000.0,152987000000.0,176392000000.0
320193,2025-Q2,210328000000.0,57552000000.0,364980000000.0,308030000000.0,62585000000.0,152987000000.0,176392000000.0
320193,2025-Q3,296105000000.0,79000000000.0,364980000000.0,308030000000.0,91443000000.0,152987000000.0,176392000000.0
320193,2026-Q1,124300000000.0,36330000000.0,359241000000.0,285508000000.0,29935000000.0,147957000000.0,165631000000.0
