month,region,avg_delivery_days,order_volume,on_time_rate,staff_count
2024-01-01,north,2.84,4206,0.697,34
2024-01-01,south,3.16,3096,0.655,28
2024-01-01,east,2.5,5310,0.732,41
2024-01-01,west,3.46,2400,0.605,22
2024-02-01,north,2.76,4228,0.712,34
2024-02-01,south,3.03,3177,0.668,28
2024-02-01,east,2.62,5134,0.719,41
2024-02-01,west,3.46,2364,0.614,22
2024-03-01,north,2.8,4208,0.728,34
2024-03-01,south,3.08,3163,0.645,28
2024-03-01,east,2.47,5264,0.717,41
2024-03-01,west,3.43,2418,0.619,22
2024-04-01,north,3.07,4202,0.661,34
2024-04-01,south,3.0,3040,0.69,28
2024-04-01,east,2.69,5329,0.69,41
2024-04-01,west,3.37,2450,0.624,22
2024-05-01,north,2.79,4192,0.672,34
2024-05-01,south,3.1,3157,0.65,28
2024-05-01,east,2.58,5266,0.729,41
2024-05-01,west,3.46,2427,0.603,22
2024-06-01,north,2.78,4244,0.688,34
2024-06-01,south,3.2,3137,0.623,28
2024-06-01,east,2.63,5176,0.711,41
2024-06-01,west,3.57,2419,0.595,22
2024-07-01,north,2.68,4339,0.72,34
2024-07-01,south,3.12,3218,0.659,28
2024-07-01,east,2.54,5468,0.717,41
2024-07-01,west,3.46,2540,0.605,22
2024-08-01,north,2.76,4276,0.698,34
2024-08-01,south,3.13,3175,0.67,28
2024-08-01,east,2.66,5334,0.727,41
2024-08-01,west,3.55,2527,0.597,22
2024-09-01,north,2.7,4426,0.732,35
2024-09-01,south,3.03,3211,0.681,29
2024-09-01,east,2.56,5397,0.735,42
2024-09-01,west,3.22,2470,0.653,23
2024-10-01,north,2.73,4247,0.71,35
2024-10-01,south,3.02,3175,0.679,29
2024-10-01,east,2.44,5394,0.744,42
2024-10-01,west,3.43,2440,0.616,23
2024-11-01,north,2.78,4424,0.675,35
2024-11-01,south,3.06,3295,0.672,29
2024-11-01,east,2.67,5326,0.724,42
2024-11-01,west,3.36,2475,0.647,23
2024-12-01,north,2.93,4466,0.67,35
2024-12-01,south,3.05,3230,0.658,29
2024-12-01,east,2.48,5425,0.726,42
2024-12-01,west,3.45,2518,0.626,23
2025-01-01,north,2.83,4395,0.68,35
2025-01-01,south,3.02,3238,0.69,29
2025-01-01,east,2.64,5462,0.697,42
2025-01-01,west,3.29,2474,0.638,23
2025-02-01,north,2.75,4379,0.688,35
2025-02-01,south,3.04,3264,0.663,29
2025-02-01,east,2.62,5481,0.716,42
2025-02-01,west,3.25,2533,0.637,23
2025-03-01,north,2.87,4431,0.697,35
2025-03-01,south,3.05,3274,0.664,29
2025-03-01,east,2.48,5425,0.754,42
2025-03-01,west,3.45,2576,0.595,23
2025-04-01,north,2.85,4417,0.692,35
2025-04-01,south,3.19,3288,0.651,29
2025-04-01,east,2.7,5611,0.724,42
2025-04-01,west,3.59,2474,0.602,23
2025-05-01,north,2.82,4387,0.691,36
2025-05-01,south,3.02,3372,0.678,30
2025-05-01,east,2.55,5589,0.75,43
2025-05-01,west,3.58,2530,0.6,24
2025-06-01,north,2.9,4724,0.687,36
2025-06-01,south,3.13,3282,0.662,30
2025-06-01,east,2.57,5601,0.721,43
2025-06-01,west,3.28,2613,0.662,24
2025-07-01,north,3.15,5013,0.642,36
2025-07-01,south,3.13,3379,0.653,30
2025-07-01,east,2.56,5633,0.732,43
2025-07-01,west,3.33,2594,0.645,24
2025-08-01,north,3.58,5254,0.599,36
2025-08-01,south,3.12,3309,0.659,30
2025-08-01,east,2.68,5549,0.697,43
2025-08-01,west,3.55,2544,0.586,24
2025-09-01,north,3.54,5601,0.588,36
2025-09-01,south,3.05,3342,0.652,30
2025-09-01,east,2.7,5573,0.737,43
2025-09-01,west,3.5,2535,0.596,24
2025-10-01,north,3.5,5772,0.627,36
2025-10-01,south,3.18,3377,0.643,30
2025-10-01,east,2.5,5738,0.746,43
2025-10-01,west,3.36,2647,0.614,24
2025-11-01,north,3.75,6187,0.554,36
2025-11-01,south,3.21,3393,0.654,30
2025-11-01,east,2.54,5646,0.715,43
2025-11-01,west,3.58,2559,0.61,24
2025-12-01,north,4.05,6312,0.55,36
2025-12-01,south,3.16,3331,0.653,30
2025-12-01,east,2.67,5751,0.726,43
2025-12-01,west,3.35,2679,0.641,24
