cik,period,metric,value,zscore,abs_z
1045810,2025-Q2,net_income,8232000000.0,12.427714257190535,12.427714257190535
320193,2022-Q1,revenue_growth_qoq,-0.4688752579628914,-8.295100113599421,8.295100113599421
1045810,2025-Q3,net_income,17475000000.0,5.359779868010557,5.359779868010557
789019,2022-Q1,revenue_growth_qoq,-0.6460917109599741,-4.723416469803798,4.723416469803798
789019,2023-Q1,net_margin,0.45247920206545006,4.1074714810284,4.1074714810284
1045810,2025-Q3,revenue,38819000000.0,4.092233675211617,4.092233675211617
1045810,2026-Q3,revenue,91166000000.0,4.090397710951063,4.090397710951063
1045810,2026-Q3,net_income,50789000000.0,3.8680852369424428,3.8680852369424428
1045810,2023-Q3,net_income,6749000000.0,3.8607871294523797,3.8607871294523797
789019,2024-Q1,debt_to_assets,0.499429578422044,-3.853070811136265,3.853070811136265
1045810,2022-Q3,net_income,2875000000.0,3.7329943105143886,3.7329943105143886
320193,2022-Q3,net_income,74129000000.0,3.6940124042428906,3.6940124042428906
1045810,2025-Q2,net_margin,0.3977003719986473,3.6335951576577297,3.6335951576577297
789019,2026-Q1,debt_to_assets,0.44510931287893596,-3.576351320951915,3.576351320951915
1045810,2023-Q3,revenue,19271000000.0,3.5644465645419614,3.5644465645419614
1045810,2025-Q1,debt_to_assets,0.346123417721519,-3.5494450266749777,3.5494450266749777
1045810,2023-Q2,net_income,4285000000.0,3.485622647643804,3.485622647643804
1045810,2026-Q2,net_income,31480000000.0,3.465458034165138,3.465458034165138
320193,2021-Q3,revenue,209817000000.0,3.047056402517449,3.047056402517449
1045810,2023-Q1,net_margin,0.33774951422010246,3.0438682496184524,3.0438682496184524
1045810,2025-Q2,revenue_growth_qoq,1.878058954393771,3.0100373652806804,3.0100373652806804
320193,2021-Q3,net_income,44738000000.0,3.000711174326607,3.000711174326607
1045810,2026-Q2,revenue,56084000000.0,2.900359541720161,2.900359541720161
789019,2021-Q3,revenue,104982000000.0,2.8978485883054246,2.8978485883054246
1045810,2024-Q1,net_margin,0.19522200772200773,-2.8842086549617627,2.8842086549617627
320193,2022-Q3,revenue,282457000000.0,2.8683848210368708,2.8683848210368708
789019,2021-Q3,net_income,33079000000.0,2.845995364408962,2.845995364408962
1045810,2022-Q3,revenue,11672000000.0,2.7828570847691947,2.7828570847691947
789019,2023-Q1,debt_to_assets,0.5435204473193729,-2.768331361155816,2.768331361155816
789019,2022-Q3,net_income,44813000000.0,2.7527999746548417,2.7527999746548417
320193,2022-Q1,net_margin,0.25803354301456405,2.6528860822778517,2.6528860822778517
